Person,Born,Semesters,Class,Courses,Height,Temp,MD,US,Inaug,March,Bowl,Excited
1,1994,3,Senior,2,180,72,No,No,No,No,Undecided,7
2,1995,6,Senior,3,180,70,Yes,Yes,Yes,No,Falcons,11
3,1996,6,Junior,2,175.26,60,Yes,Yes,Yes,No,Falcons,8
4,1996,6,Junior,7,184,70,Yes,Yes,Yes,No,Falcons,8
5,1995,8,Senior,5,165.1,67,Yes,Yes,No,No,Pass,7
6,1996,3,Senior,3,176,75,Yes,Yes,No,No,Falcons,7
7,1996,5,Junior,2,175,72,Yes,Yes,No,No,Falcons,8
8,1995,7,Senior,2,167,72,No,Yes,Yes,No,Pass,5
9,1995,5,Junior,2,176,69,Yes,Yes,Yes,Yes,Patriots,7
10,1995,7,Senior,1,177,70,Yes,Yes,No,No,Undecided,8
11,1996,5,Junior,2,175,75,Yes,Yes,No,Yes,Undecided,6
12,1994,7,Senior,3,162,72,No,No,No,No,Patriots,7
13,1995,5,Junior,2,172,68,No,Yes,No,No,Undecided,8
14,1976,8,Senior,5,183,67,No,No,No,Yes,Falcons,10
15,1995,7,Senior,3,188,68,Yes,Yes,No,No,Patriots,9
16,1995,4,Senior,2,158,70,Yes,Yes,No,No,Undecided,2
17,1996,5,Junior,2,157.48,72,Yes,Yes,Yes,No,Gaga,10
18,1995,8,Senior,10,7,68,Yes,Yes,Yes,Yes,Pass,8
19,1995,7,Senior,1,69,65,No,Yes,No,Yes,Gaga,8
20,1995,8,Senior,3,163,70,Yes,Yes,No,Yes,Pass,6
21,1995,8,Senior,3,165.1,75,No,Yes,Yes,No,Gaga,8
22,1994,7,Senior,2,162.56,72,No,Yes,No,No,Undecided,7
23,1995,7,Senior,6,190.5,69,Yes,Yes,Yes,No,Falcons,10
24,1995,7,Senior,4,175,73,Yes,Yes,Yes,No,Patriots,7
25,1995,7,Senior,2,185,68,No,Yes,Yes,No,Patriots,15
26,1995,7,Senior,4,184,70,Yes,Yes,No,No,Patriots,9
27,1994,7,Senior,4,186,72,No,Yes,Yes,No,Falcons,10
28,1994,7,Senior,2,171,70,No,Yes,Yes,No,Patriots,10
29,1996,5,Junior,1,172,75,No,Yes,No,No,Falcons,6
30,1996,7,Senior,2,190.5,69,Yes,Yes,Yes,No,Patriots,9.75
31,1996,6,Junior,3,185,70,No,Yes,Yes,No,Falcons,5
32,,6,Junior,2,182.88,70,No,Yes,No,No,Patriots,5
33,1995,8,Senior,4,185,70,Yes,Yes,Yes,No,Patriots,7
34,1995,8,Senior,6,153,68,No,Yes,Yes,No,Gaga,8
35,1995,8,Senior,2,,75,Yes,Yes,Yes,No,Pass,1
36,1995,4,Senior,2,151,72,Yes,Yes,No,No,Patriots,6
37,1996,4,Junior,3,180.34,69,Yes,Yes,No,No,Falcons,6
38,1995,8,Senior,8,150,69.8,No,Yes,Yes,No,Undecided,6.5
39,1990,3,Senior,1,167,78,No,No,Yes,Yes,Pass,10
40,1997,4,Sophomore,1,177.8,70,Yes,Yes,No,No,Falcons,6
41,1995,4,Senior,1,183,68,No,No,Yes,No,Pass,7
42,1996,6,Senior,2,183,70,Yes,Yes,Yes,No,Falcons,6
43,1996,5,Junior,1,187,67,Yes,Yes,Yes,No,Falcons,5
44,1995,7,Senior,2,157.48,78,Yes,Yes,No,No,Gaga,6
45,1994,9,Senior,2,170.18,67.5,Yes,Yes,No,No,Patriots,11
46,1996,6,Senior,1,152.4,72,Yes,Yes,No,No,Patriots,9
47,1995,7,Senior,4,69,75,No,Yes,No,No,Gaga,8
48,1995,5,Junior,3,165,68,No,Yes,No,No,Falcons,10
49,1995,8,Senior,5,162.56,70,Yes,Yes,Yes,Yes,Patriots,6
50,,5,Senior,4,165,65,No,No,No,No,Gaga,10
51,1994,4,Senior,5,180,68,No,Yes,Yes,No,Falcons,8
52,1995,7,Senior,5,193,70,Yes,Yes,No,No,Falcons,5
53,1995,5,Sophomore,3,147.32,70,No,Yes,Yes,No,Falcons,8
54,1995,8,Senior,9,178,70,No,Yes,Yes,No,Falcons,8
55,,7,Senior,4,186,72,No,Yes,Yes,No,Falcons,10
56,1995,8,Senior,5,162.56,72,No,No,No,Yes,Pass,10
57,1995,7,Senior,3,171,70,Yes,Yes,No,No,Pass,9
